#AC_NUM,ACID,TRACK_CNT,ST_TIME,END_TIME,ORIG_TRACK_CNT,ORIG_ST_TIME,ORIG_END_TIME,TRACK_QSTAT,MAX_X,MIN_X,MAX_Y,MIN_Y,MAX_Z,MIN_Z,AC_EQUIP,AC_TYPE,DEST_FIX,FLIGHT_TYPE,ORIGIN_FIX,PRM_ID,GAP_VALUE,MAX_X_SMO,MIN_X_SMO,MAX_Y_SMO,MIN_Y_SMO,MAX_Z_SMO,MIN_Z_SMO,TOD_TIME,TOC_TIME,TOC_ALT,END_CENTER,START_CENTER,END_CENTER_TIME,START_CENTER_TIME
1863,COM472_763,249,67490,69970,206,67488,69972,0,302.5,101.467,583.25,436.833,27000,13816,L,CRJ1,ORF,ARR,DTW,-1,0,301.667,102.114,582.591,437.025,27000,13882,69210,-1,99900,n/a,ZOB,69370,67540
1864,COM473_992,327,65160,68420,271,65160,68424,0,415.5,84.5,596.235,307.4,37000,9266,L,CRJ9,JFK,OVR,DFW,-1,0,415.488,85.875,595.538,307.992,37000,9645,-1,-1,99900,n/a,ZTL,67820,65200
1865,COM478_127,134,80810,82140,112,80808,82140,0,400.6,286.348,570.3,531.117,17000,2566,L,CRJ1,JFK,DEP,BWI,-1,0,399.783,286.63,569.667,531.222,17000,2875,-1,81290,17000,n/a,ZDC,81540,80850
1866,COM485_412,215,41070,43210,177,41064,43212,0,265.099,56.5,544.7,522.1,30000,11400,L,CRJ1,CVG,DEP,BWI,-1,0,264.153,57.485,544.55,522.161,30000,11636,43060,42630,30000,n/a,ZDC,42610,41160
1867,COM488_598,122,67430,68640,99,67428,68640,0,219.5,133.05,573.367,511.3,26100,6000,L,CRJ1,IAD,ARR,DTW,-1,0,219.367,133.839,572.158,511.875,25765,6000,67640,-1,99900,n/a,ZOB,68040,67470
1868,COM489_096,170,84690,86380,143,84684,86388,0,276.1,93.1,584.25,522.8,32000,32000,L,CRJ7,CVG,OVR,EWR,-1,0,275.39,93.953,583.748,522.8,32000,32000,-1,-1,99900,n/a,ZNY,86040,84710
1869,COM497_930,83,63980,64800,70,63972,64800,0,116.767,101,329.8,240.865,32000,25633,L,CRJ1,DTW,OVR,CHS,-1,0,116.594,101.283,328.408,241.517,32000,25761,-1,64490,32000,n/a,ZJX,64200,64010
1870,COM499_342,223,59190,61410,186,59184,61416,0,408.451,252.9,583.701,443.248,17000,1800,L,CRJ1,JFK,DEP,RIC,-1,0,408.012,252.981,583.177,443.665,17000,2047,61270,59670,17000,n/a,ZDC,60810,59200
1871,COM508_384,211,75240,77340,172,75240,77340,0,415,306.5,594,408.8,17100,7500,L,CRJ1,JFK,DEP,ORF,-1,0,414.932,307.225,593.208,409.258,17100,7825,77100,75660,17000,n/a,ZDC,76740,75260
1872,COM525_006,133,50280,51600,111,50280,51600,0,221.1,124.5,588.5,510,29000,5000,L,CRJ1,IAD,ARR,DTW,-1,0,220.642,125.567,587.775,510.567,28958,5000,50510,-1,99900,n/a,ZOB,51000,50340
1873,COM528_177,105,55460,56500,87,55452,56508,0,240.9,175.64,585.396,529.83,23333,3700,L,CRJ1,DTW,DEP,IAD,-1,0,240.757,176.299,585.16,530.389,23274,3910,-1,56500,23333,n/a,ZDC,55900,55550
1874,COM541_667,217,79650,81810,179,79644,81816,0,285.9,50.848,585.3,520.899,32000,23100,L,CRJ7,CVG,OVR,PHL,-1,0,285.075,51.642,585.24,521.049,32000,23230,81470,80460,32000,n/a,ZNY,81210,79800
1875,COM547_373,243,610,3030,202,608,3032,0,356.234,183.066,491.15,348.966,26000,2016,L,CRJ1,RDU,ARR,JFK,-1,0,355.66,183.428,490.419,349.329,26000,2149,2210,-1,99900,n/a,ZDC,2430,610
1876,COM547_793,158,84810,86380,132,84804,86388,0,433.983,352.367,608.351,486.934,26000,8300,L,CRJ1,RDU,ARR,JFK,-1,0,433.707,353.037,607.831,487.582,26000,8560,86340,85760,26000,n/a,ZDC,86380,84810
1877,COM548_873,116,75680,76830,97,75672,76836,0,249.5,118.033,555.367,525.45,29000,8000,L,CRJ1,DCA,ARR,GRR,-1,0,248.525,118.429,554.996,525.672,29000,8000,75950,-1,99900,n/a,ZOB,76230,75690
1878,COM549_132,95,66040,66980,80,66036,66984,0,174.633,89.033,359.433,340.317,24033,3233,L,CRJ1,CVG,DEP,RDU,-1,0,174.21,89.917,359.058,340.44,23879,3591,-1,66980,24033,n/a,ZDC,66380,66040
1879,COM563_752,106,81170,82220,89,81168,82224,0,256.75,183.868,581.533,530.733,28000,9383,L,CRJ1,GRR,DEP,DCA,-1,0,256.039,184.609,581.21,530.984,27997,9757,-1,82200,28000,n/a,ZDC,81620,81290
1880,COM563_857,108,7800,8870,89,7796,8876,0,251.734,165.849,589.45,522.032,26250,11966,L,CRJ1,GRR,DEP,DCA,-1,0,251.268,166.6,589.136,522.914,26185,12109,-1,8870,26250,n/a,ZDC,8270,7910
1881,COM564_881,162,4250,5860,132,4244,5864,0,183.883,48.749,420.983,348.266,25000,1633,L,CRJ1,RDU,ARR,MEM,-1,0,183.65,49.881,420.806,348.676,25000,1732,5420,-1,99900,n/a,ZTL,5270,4260
1882,COM573_471,267,6340,9000,223,6332,9008,0,331.7,65.467,593.034,503.067,24000,23966,L,CRJ1,BNA,OVR,JFK,-1,0,331.073,66.181,592.775,503.225,24000,23970,-1,-1,99900,n/a,ZNY,8400,6800
1883,COM582_194,203,57710,59730,168,57708,59736,0,280.083,55.5,577.583,522.7,36000,32000,L,CRJ9,CVG,OVR,JFK,-1,0,279.044,56.383,576.991,522.752,36000,32000,59410,57980,36000,n/a,ZNY,59130,57740
1884,COM583_075,284,40580,43410,234,40572,43416,0,316.566,56.349,605.133,522.7,32000,22533,L,CRJ1,CVG,OVR,EWR,-1,0,315.96,57.157,604.763,522.895,32000,22595,43080,41720,32000,n/a,ZNY,42810,40730
1885,COM591_081,190,73370,75260,157,73368,75264,0,261.067,78.166,538.7,526.917,28000,5583,L,CRJ1,IND,DEP,DCA,-1,0,260.681,78.971,538.643,527.069,28000,6007,-1,74790,28000,n/a,ZDC,74660,73490
1886,COM592_310,127,83820,85080,106,83820,85080,0,243.1,102.3,573.1,526.3,27000,8500,L,CRJ1,DCA,ARR,IND,-1,0,242.2,103.758,572.642,526.3,27000,8717,84110,-1,99900,n/a,ZOB,84480,83880
1887,COM593_417,126,75350,76600,106,75348,76608,0,247.751,161.534,591.333,531.214,27133,3650,L,CRJ1,DTW,DEP,IAD,-1,0,247.545,162.165,591.049,531.774,27074,3882,-1,76600,27133,n/a,ZDC,76000,75380
1888,COM594_126,358,46060,49630,297,46056,49632,0,377.767,85.533,594.867,313.9,27000,10033,L,CRJ1,LGA,OVR,BHM,-1,0,377.283,86.637,594.412,314.46,27000,10236,48890,-1,99900,n/a,ZTL,49470,46130
1889,COM601_751,110,61950,63040,92,61944,63048,0,248.3,179.666,593.167,529.887,25133,2100,L,CRJ1,DTW,DEP,IAD,-1,0,248.298,180.337,592.747,530.288,25039,2351,-1,63040,25133,n/a,ZDC,62440,62000
1890,COM602_659,162,53800,55410,135,53796,55416,0,186.9,70.367,457.067,347.05,27933,1200,L,CRJ1,RDU,ARR,IND,-1,0,186.653,71.367,456.593,347.321,27791,1348,-1,-1,99900,n/a,ZID,54810,53840
1891,COM612_423,324,78830,82060,262,78828,82068,0,414.732,172.048,626.699,344.528,31000,6366,L,CRJ1,BOS,DEP,RDU,-1,0,413.998,172.428,626.049,345.213,31000,6691,81970,80060,27000,n/a,ZDC,81460,78900
1892,COM623_966,224,40640,42870,185,40632,42876,0,252.733,53.351,515.75,435.7,28000,2066,L,CRJ1,CVG,DEP,RIC,-1,0,252.378,54.253,515.363,435.807,28000,2286,-1,42090,28000,n/a,ZDC,42270,40640
1893,COM624_481,353,58250,61770,293,58248,61776,0,418.509,91.016,595.407,345.4,27000,10850,L,CRJ1,JFK,OVR,BNA,-1,0,417.975,92.202,594.994,345.467,27000,10895,61440,-1,99900,n/a,ZTL,61170,58410
1894,COM625_990,94,40900,41830,78,40896,41832,0,176.834,94.902,354.632,341.8,22683,2333,L,CRJ1,IND,DEP,RDU,-1,0,176.557,95.939,353.998,341.819,22595,2612,-1,41830,22683,n/a,ZDC,41230,40900
1895,COM629_137,117,55160,56320,99,55152,56328,0,265.033,181.467,582.5,523.2,23833,2366,L,CRJ1,MSN,DEP,DCA,-1,0,264.757,182.12,582.284,523.62,23774,2562,-1,56320,23833,n/a,ZDC,55740,55320
1896,COM632_561,136,68860,70210,112,68856,70212,0,243.833,118.595,573.308,526.3,27000,8166,L,CRJ1,DCA,ARR,MSN,-1,0,242.969,119.628,571.737,526.301,27000,8398,69430,-1,99900,n/a,ZOB,69610,68930
1897,COM633_318,276,76370,79120,231,76368,79128,0,441.9,266.4,609.667,435.7,26083,2666,L,CRJ1,RIC,ARR,JFK,-1,0,441.749,266.896,609.01,436.124,26030,2775,77670,77350,26000,n/a,ZNY,78520,76400
1898,COM640_450,159,38920,40500,132,38916,40500,0,396.6,260.6,611.2,522.262,31000,1400,L,CRJ1,BOS,DEP,DCA,-1,0,395.525,260.847,610.275,522.623,31000,1632,40470,40290,31000,n/a,ZDC,39900,39060
1899,COM642_493,175,48030,49770,146,48024,49776,0,408.449,260.2,620.749,523.949,27000,2300,L,CRJ2,BOS,DEP,DCA,-1,0,407.721,260.559,620.122,524.328,27000,2587,-1,49260,27000,n/a,ZDC,49170,48030
1900,COM644_867,182,54360,56170,148,54360,56172,0,412.3,260.333,624.433,522.8,27000,1300,L,CRJ1,BOS,DEP,DCA,-1,0,411.346,260.63,623.634,523.3,27000,1708,-1,55430,27000,n/a,ZDC,55570,54460
1901,COM646_701,139,47000,48380,116,46992,48384,0,232.032,91.967,575.833,527.568,33000,10733,L,CRJ1,DCA,ARR,DSM,-1,0,231.429,92.801,575.494,527.906,32924,10840,47410,-1,99900,n/a,ZOB,47780,47100
